prefix,zone_name,base_rate
# --- NEW ENGLAND ---
010,🇺🇸 New England,2100
011,🇺🇸 New England,2100
012,🇺🇸 New England,2100
013,🇺🇸 New England,2100
014,🇺🇸 New England,2100
015,🇺🇸 New England,2100
016,🇺🇸 New England,2100
017,🇺🇸 New England,2100
018,🇺🇸 New England,2100
019,🇺🇸 New England,2100
020,🇺🇸 New England,2100
021,🇺🇸 New England,2100
022,🇺🇸 New England,2100
023,🇺🇸 New England,2100
024,🇺🇸 New England,2100
025,🇺🇸 New England,2100
026,🇺🇸 New England,2100
027,🇺🇸 New England,2100
028,🇺🇸 New England,2100
029,🇺🇸 New England,2100
030,🇺🇸 New England,2100
031,🇺🇸 New England,2100
032,🇺🇸 New England,2100
033,🇺🇸 New England,2100
034,🇺🇸 New England,2100
035,🇺🇸 New England,2100
036,🇺🇸 New England,2100
037,🇺🇸 New England,2100
038,🇺🇸 New England,2100
039,🇺🇸 New England,2100
040,🇺🇸 New England,2100
041,🇺🇸 New England,2100
042,🇺🇸 New England,2100
043,🇺🇸 New England,2100
044,🇺🇸 New England,2100
045,🇺🇸 New England,2100
046,🇺🇸 New England,2100
047,🇺🇸 New England,2100
048,🇺🇸 New England,2100
049,🇺🇸 New England,2100
050,🇺🇸 New England,2100
051,🇺🇸 New England,2100
052,🇺🇸 New England,2100
053,🇺🇸 New England,2100
054,🇺🇸 New England,2100
055,🇺🇸 New England,2100
056,🇺🇸 New England,2100
057,🇺🇸 New England,2100
058,🇺🇸 New England,2100
059,🇺🇸 New England,2100
060,🇺🇸 New England,2100
061,🇺🇸 New England,2100
062,🇺🇸 New England,2100
063,🇺🇸 New England,2100
064,🇺🇸 New England,2100
065,🇺🇸 New England,2100
066,🇺🇸 New England,2100
067,🇺🇸 New England,2100
068,🇺🇸 New England,2100
069,🇺🇸 New England,2100

# --- NEW JERSEY ---
070,🇺🇸 North Jersey,2300
071,🇺🇸 North Jersey,2300
072,🇺🇸 North Jersey,2300
073,🇺🇸 North Jersey,2300
074,🇺🇸 North Jersey,2300
075,🇺🇸 North Jersey,2300
076,🇺🇸 North Jersey,2300
077,🇺🇸 North Jersey,2300
078,🇺🇸 North Jersey,2300
079,🇺🇸 North Jersey,2300
088,🇺🇸 North Jersey,2300
089,🇺🇸 North Jersey,2300
080,🇺🇸 Central / South Jersey,2200
081,🇺🇸 Central / South Jersey,2200
082,🇺🇸 Central / South Jersey,2200
083,🇺🇸 Central / South Jersey,2200
084,🇺🇸 Central / South Jersey,2200
085,🇺🇸 Central / South Jersey,2200
086,🇺🇸 Central / South Jersey,2200
087,🇺🇸 Central / South Jersey,2200

# --- NEW YORK ---
100,🇺🇸 NYC / Long Island,2300
101,🇺🇸 NYC / Long Island,2300
102,🇺🇸 NYC / Long Island,2300
103,🇺🇸 NYC / Long Island,2300
104,🇺🇸 NYC / Long Island,2300
105,🇺🇸 NYC / Long Island,2300
106,🇺🇸 NYC / Long Island,2300
107,🇺🇸 NYC / Long Island,2300
108,🇺🇸 NYC / Long Island,2300
109,🇺🇸 NYC / Long Island,2300
110,🇺🇸 NYC / Long Island,2300
111,🇺🇸 NYC / Long Island,2300
112,🇺🇸 NYC / Long Island,2300
113,🇺🇸 NYC / Long Island,2300
114,🇺🇸 NYC / Long Island,2300
115,🇺🇸 NYC / Long Island,2300
116,🇺🇸 NYC / Long Island,2300
117,🇺🇸 NYC / Long Island,2300
118,🇺🇸 NYC / Long Island,2300
119,🇺🇸 NYC / Long Island,2300
120,🇺🇸 Upstate NY,2200
121,🇺🇸 Upstate NY,2200
122,🇺🇸 Upstate NY,2200
123,🇺🇸 Upstate NY,2200
124,🇺🇸 Upstate NY,2200
125,🇺🇸 Upstate NY,2200
126,🇺🇸 Upstate NY,2200
127,🇺🇸 Upstate NY,2200
128,🇺🇸 Upstate NY,2200
129,🇺🇸 Upstate NY,2200
130,🇺🇸 Upstate NY,2200
131,🇺🇸 Upstate NY,2200
132,🇺🇸 Upstate NY,2200
133,🇺🇸 Upstate NY,2200
134,🇺🇸 Upstate NY,2200
135,🇺🇸 Upstate NY,2200
136,🇺🇸 Upstate NY,2200
137,🇺🇸 Upstate NY,2200
138,🇺🇸 Upstate NY,2200
139,🇺🇸 Upstate NY,2200
140,🇺🇸 Upstate NY,2200
141,🇺🇸 Upstate NY,2200
142,🇺🇸 Upstate NY,2200
143,🇺🇸 Upstate NY,2200
144,🇺🇸 Upstate NY,2200
145,🇺🇸 Upstate NY,2200
146,🇺🇸 Upstate NY,2200
147,🇺🇸 Upstate NY,2200
148,🇺🇸 Upstate NY,2200
149,🇺🇸 Upstate NY,2200

# --- PENNSYLVANIA ---
150,🇺🇸 Western PA,2400
151,🇺🇸 Western PA,2400
152,🇺🇸 Western PA,2400
153,🇺🇸 Western PA,2400
154,🇺🇸 Western PA,2400
155,🇺🇸 Western PA,2400
156,🇺🇸 Western PA,2400
157,🇺🇸 Western PA,2400
158,🇺🇸 Western PA,2400
159,🇺🇸 Western PA,2400
160,🇺🇸 Western PA,2400
161,🇺🇸 Western PA,2400
162,🇺🇸 Western PA,2400
163,🇺🇸 Western PA,2400
164,🇺🇸 Western PA,2400
165,🇺🇸 Western PA,2400
166,🇺🇸 Western PA,2400
167,🇺🇸 Western PA,2400
168,🇺🇸 Western PA,2400
169,🇺🇸 Western PA,2400
170,🇺🇸 Eastern PA,2200
171,🇺🇸 Eastern PA,2200
172,🇺🇸 Eastern PA,2200
173,🇺🇸 Eastern PA,2200
174,🇺🇸 Eastern PA,2200
175,🇺🇸 Eastern PA,2200
176,🇺🇸 Eastern PA,2200
177,🇺🇸 Eastern PA,2200
178,🇺🇸 Eastern PA,2200
179,🇺🇸 Eastern PA,2200
180,🇺🇸 Eastern PA,2200
181,🇺🇸 Eastern PA,2200
182,🇺🇸 Eastern PA,2200
183,🇺🇸 Eastern PA,2200
184,🇺🇸 Eastern PA,2200
185,🇺🇸 Eastern PA,2200
186,🇺🇸 Eastern PA,2200
187,🇺🇸 Eastern PA,2200
188,🇺🇸 Eastern PA,2200
189,🇺🇸 Eastern PA,2200
190,🇺🇸 Eastern PA,2200
191,🇺🇸 Eastern PA,2200
192,🇺🇸 Eastern PA,2200
193,🇺🇸 Eastern PA,2200
194,🇺🇸 Eastern PA,2200
195,🇺🇸 Eastern PA,2200
196,🇺🇸 Eastern PA,2200

# --- CAPITAL REGION / MD / DE / DC ---
197,🇺🇸 Capital Region,2300
198,🇺🇸 Capital Region,2300
199,🇺🇸 Capital Region,2300
200,🇺🇸 Capital Region,2300
201,🇺🇸 Capital Region,2300
202,🇺🇸 Capital Region,2300
203,🇺🇸 Capital Region,2300
204,🇺🇸 Capital Region,2300
205,🇺🇸 Capital Region,2300
206,🇺🇸 Capital Region,2300
207,🇺🇸 Capital Region,2300
208,🇺🇸 Capital Region,2300
209,🇺🇸 Capital Region,2300
210,🇺🇸 Capital Region,2300
211,🇺🇸 Capital Region,2300
212,🇺🇸 Capital Region,2300
213,🇺🇸 Capital Region,2300
214,🇺🇸 Capital Region,2300
215,🇺🇸 Capital Region,2300
216,🇺🇸 Capital Region,2300
217,🇺🇸 Capital Region,2300
218,🇺🇸 Capital Region,2300
219,🇺🇸 Capital Region,2300
220,🇺🇸 Capital Region,2300
221,🇺🇸 Capital Region,2300
222,🇺🇸 Capital Region,2300
223,🇺🇸 Capital Region,2300
224,🇺🇸 Virginia,2400
225,🇺🇸 Virginia,2400
226,🇺🇸 Virginia,2400
227,🇺🇸 Virginia,2400
228,🇺🇸 Virginia,2400
229,🇺🇸 Virginia,2400
230,🇺🇸 Virginia,2400
231,🇺🇸 Virginia,2400
232,🇺🇸 Virginia,2400
233,🇺🇸 Virginia,2400
234,🇺🇸 Virginia,2400
235,🇺🇸 Virginia,2400
236,🇺🇸 Virginia,2400
237,🇺🇸 Virginia,2400
238,🇺🇸 Virginia,2400
239,🇺🇸 Virginia,2400
240,🇺🇸 Virginia,2400
241,🇺🇸 Virginia,2400
242,🇺🇸 Virginia,2400
243,🇺🇸 Virginia,2400
244,🇺🇸 Virginia,2400
245,🇺🇸 Virginia,2400
246,🇺🇸 Virginia,2400

# --- CAROLINAS ---
270,🇺🇸 Carolinas,2500
271,🇺🇸 Carolinas,2500
272,🇺🇸 Carolinas,2500
273,🇺🇸 Carolinas,2500
274,🇺🇸 Carolinas,2500
275,🇺🇸 Carolinas,2500
276,🇺🇸 Carolinas,2500
277,🇺🇸 Carolinas,2500
278,🇺🇸 Carolinas,2500
279,🇺🇸 Carolinas,2500
280,🇺🇸 Carolinas,2500
281,🇺🇸 Carolinas,2500
282,🇺🇸 Carolinas,2500
283,🇺🇸 Carolinas,2500
284,🇺🇸 Carolinas,2500
285,🇺🇸 Carolinas,2500
286,🇺🇸 Carolinas,2500
287,🇺🇸 Carolinas,2500
288,🇺🇸 Carolinas,2500
289,🇺🇸 Carolinas,2500
290,🇺🇸 Carolinas,2500
291,🇺🇸 Carolinas,2500
292,🇺🇸 Carolinas,2500
293,🇺🇸 Carolinas,2500
294,🇺🇸 Carolinas,2500
295,🇺🇸 Carolinas,2500
296,🇺🇸 Carolinas,2500
297,🇺🇸 Carolinas,2500
298,🇺🇸 Carolinas,2500
299,🇺🇸 Carolinas,2500

# --- GEORGIA ---
300,🇺🇸 Georgia,2600
301,🇺🇸 Georgia,2600
302,🇺🇸 Georgia,2600
303,🇺🇸 Georgia,2600
304,🇺🇸 Georgia,2600
305,🇺🇸 Georgia,2600
306,🇺🇸 Georgia,2600
307,🇺🇸 Georgia,2600
308,🇺🇸 Georgia,2600
309,🇺🇸 Georgia,2600
310,🇺🇸 Georgia,2600
311,🇺🇸 Georgia,2600
312,🇺🇸 Georgia,2600
313,🇺🇸 Georgia,2600
314,🇺🇸 Georgia,2600
315,🇺🇸 Georgia,2600
316,🇺🇸 Georgia,2600
317,🇺🇸 Georgia,2600
318,🇺🇸 Georgia,2600
319,🇺🇸 Georgia,2600

# --- FLORIDA ---
320,🇺🇸 North Florida,2700
321,🇺🇸 North Florida,2700
322,🇺🇸 North Florida,2700
323,🇺🇸 North Florida,2700
324,🇺🇸 North Florida,2700
325,🇺🇸 North Florida,2700
326,🇺🇸 North Florida,2700
327,🇺🇸 North Florida,2700
328,🇺🇸 North Florida,2700
329,🇺🇸 North Florida,2700
335,🇺🇸 North Florida,2700
336,🇺🇸 North Florida,2700
337,🇺🇸 North Florida,2700
338,🇺🇸 North Florida,2700
